-0.0144345-0.0583436j 0.00665473+0.0170249j 0.00132773+0.0353172j 0.0181079-0.0306574j -0.00944755-0.0400147j -0.0170914+0.0346101j -0.0299737+0.0250921j -0.00622374+0.0368182j -0.00353617+0.0121824j -0.010581+0.0409255j -0.0405311-0.0124837j -0.00321687+0.0560788j -0.00887262-0.0129113j 0.035322-0.00294245j -0.0159116+0.0453071j -0.0413103+0.00756849j 0.0219537-0.00230791j -0.0346226-0.00628614j -0.014675+0.0369747j -0.0237136+0.00524477j -0.0398931+0.0350141j -0.0158655+0.00445286j -0.00649315-0.0142074j 0.00850284-0.0150203j -0.02539+0.014426j -0.0245761+0.0402343j 0.0635839-0.0242201j -0.00278982+0.0101714j -0.0117474-0.00109573j 0.0166395-0.0155837j 0.0188666+0.0223089j -0.0261017+0.0249932j 0.000387303-0.0075088j 0.0292638+0.00287372j -0.0132161+0.0207993j -0.0154479+0.00309736j -0.0125639+0.0287889j 0.0237401-0.0205502j 0.0104189-0.0264002j -0.0105706-0.026194j 0.0584383-0.0349776j -0.0068862-0.0074293j 0.0268338+0.0102728j 0.00938236-0.0140386j -0.0469031+0.0412274j 0.00183219+0.0549059j -0.0281919+0.0694243j -0.0572961-0.0022706j -0.0448871+0.0555893j 0.0253131+0.00679745j 0.0402817-0.0319997j -0.0418404+0.064253j -0.0442456+0.0600313j 0.107083-0.100916j 0.00563247+0.0658559j -0.1502+0.0731319j 0.0076166+0.108726j -0.158096-0.00341693j 0.237084-0.235815j -0.0474581-0.0602213j 0.157408-0.0856964j -0.0326765-0.000970516j 0.0479854-0.0782142j -0.064836+0.0756118j 0.0308019-0.0345022j -0.0302593+0.152538j -0.144769+0.0658381j 0.101002-0.164031j 0.138489-0.0660589j 
-0.00586155-0.00714938j 0.0135105+0.0211684j 0.00382126-0.0376566j -0.0328963-0.011557j 0.0445655-0.0282904j 0.0588607+0.0826978j -0.0512761+0.0126217j 0.00862133+0.00403952j -0.0426029-0.040607j 0.0543393-0.0869278j -0.0360815-0.0304861j 0.00125721-0.0175552j -0.0182937+0.0438197j 0.0201577+0.0137814j -0.0282247+0.0444532j 0.0292201-0.00388369j 0.0565437-0.0127649j 0.0889941+0.0143433j 0.0508602+0.0731021j -0.0255553-0.136139j 0.0509815+0.0246611j -0.0848924-0.0647474j 0.0988406-0.022378j -0.0170675+0.0498099j -0.0742715-0.0278078j 0.0287319+0.163013j 0.0121653-0.0320346j -0.0329909+0.122874j -0.019406+0.0499795j -0.079859+0.0487871j 0.130245-0.0557495j -0.0817855-0.0258458j 0.0824143+0.0625802j -0.0627736-0.0743449j 0.115642-0.134051j 0.08185+0.0140021j 0.0282408-0.0906148j 0.0390979-0.0442579j -0.101306+0.0376649j 0.116046-0.0666489j -0.0571324-0.0208424j 0.106483+0.0230319j 0.0808229-0.002086j 0.142364+0.0681723j 0.0309401-0.0357565j -0.0311101+0.0100742j -0.0562577+0.079172j 0.0151479-0.113028j -0.00232607+0.0727905j -0.105673-0.0701818j 0.0201326+0.0695005j -0.0355144+0.0822005j 0.0385096-0.00237727j 0.0303464-0.0582954j 0.0490496+0.00212551j -0.009073-0.0233443j 0.0344856+0.0152882j 0.00963213-0.00791793j 0.00156373+0.0563478j 0.103253-0.0226238j -0.00415508-0.0439522j -0.00195852+0.0125372j -0.0198932+0.0236658j -0.0375005-0.0661335j 0.0510951-0.0342803j -0.00960381+0.0320486j 0.0402262+0.0256131j 0.0115743+0.00947292j 0.00238274+0.0139336j 
0.0115289-0.00828858j 0.0195972-0.0188658j 0.032668+0.00565939j -0.000589759-0.0062371j -0.0178451+0.0337946j 0.0342667-0.0319027j 0.0011867+0.0418764j 0.0377683-0.0340796j -0.0248097-0.000635945j -0.0335296+0.0515933j 0.0220829-0.0263439j -0.0366928+0.0118703j -0.00491199+0.0261167j -0.0134989-0.0151355j -0.00543351+5.2257e-05j -0.0578403+0.0760293j 0.0699704-0.0436984j -0.0104266+0.0151528j 0.0246027+0.014557j -0.0131304+0.0493673j -0.0481864+0.0212153j 0.00210708-0.0674038j -0.0412691+0.000915708j 0.0628154+0.00200388j -0.0895948+0.0145144j 0.0246169-0.107809j 0.0498443+0.11118j 0.028506-0.00874698j -0.0346517-0.00390923j 0.0061381-0.117697j 0.0617333-0.0558994j -0.0861523+0.00368582j 0.0532379+0.066746j -0.045053+0.00433811j 0.045227+0.0482812j -0.0190691+0.0231914j 0.0779648-0.0539499j 0.105637+0.0120899j -0.0749422-0.0985375j -0.0226552-0.0650075j -0.0174318-0.00939013j -0.062051+0.0368251j 0.0185062-0.0956064j -0.102712-0.0645204j 0.109373+0.0181426j 0.0692251-0.0293374j 0.0218326-0.0454358j 0.0297271-0.0453665j 0.0259781-0.000752923j 0.0730282+0.0192618j -0.0570068+0.0162009j -0.0139837-0.01582j 0.0782019+0.0506099j -0.0583544-0.0476482j -0.00407183+0.0193723j -0.000156875+0.0195003j -0.00247861+0.0391396j -0.0405154-0.000243269j 0.00490006+0.0145396j -0.0558556-0.00158956j 0.0461519+0.000890976j 0.0425974+0.0265134j -0.0131377-0.0584395j 0.0782498+0.0243421j -0.0208255-0.00523484j -0.0112214-0.0031161j 0.0160513-0.000162255j -0.0310469-0.0135275j 0.0077659+0.005192j 
0.00317102-0.00714949j -0.00433203-0.00569841j -0.0213798+0.0188114j -0.0096524+0.0404035j 0.0311586-0.0393677j 0.0385852+0.00854053j -0.00126782+0.0621042j 0.00935645-0.059717j 0.0514173+0.0197761j 0.0469261+0.0469169j 0.0393522+0.0294376j 0.0150155-0.0174529j -0.0662182+0.00331412j 0.00938897-0.00717546j 0.00247756-0.0242708j 0.0703955-0.0437966j 0.0155607-0.0604336j 0.081194-0.0230785j 0.0204802+0.0265271j 0.0384988-0.00670995j 0.0238754-0.00251619j 0.0969557-0.0254971j 0.00470404-0.226164j -0.044136+0.0416727j -0.129619+0.0993983j -0.127637-0.0376509j -0.110694+0.0517045j -0.0380878+0.0143492j -0.0625033-0.0323204j 0.0546063+0.20175j 0.154114+0.0662071j -0.0293653+0.104658j -0.0370011+0.0819801j -0.0172485+0.0712515j 0.0576549-0.0369266j 0.129929+0.0612212j 0.113691-0.0191554j -0.0539306-0.137088j 0.159145-0.0271692j 0.0760331-0.00778044j 0.0202227-0.0949283j -0.102708+0.081868j -0.0748447-0.0509639j -0.0622092+0.0300333j -0.201341+0.113317j 0.0474201-0.0489595j -0.0535721-0.077593j -0.0269921-0.0158494j 0.066696-0.0603915j 0.00837616+0.0217279j 0.0317213-0.023207j -0.00987442-0.00583643j -0.0669177+0.0224002j 0.0205285-0.00526487j -0.00717435-0.0418298j 0.0408167-0.0422843j 0.0149176+0.048273j 0.0372178-0.000283708j 0.0175524-0.0168806j -0.0458385+0.0464991j 0.0198674-0.0115045j 0.00381864+0.0206767j 0.0184004-0.0187963j -0.0245405+0.02083j -0.0152127+0.00761637j -0.00351853-0.0154497j -0.00835138+0.0134087j -0.00635382-0.0178261j -0.00986685+0.00196363j 
0.000985767-0.0152629j 0.00244394+0.011997j -0.013113-0.0200609j 0.0236978-0.0127939j -0.0302799+0.0154935j -0.0385734-0.0271486j 0.0241596-0.0609725j 0.0245123-0.0174344j 0.093943+0.00550023j -0.0083461+0.0655715j 0.0310791-0.0135848j -0.0228721+0.00371747j 0.00965586-0.0689941j -0.0298905+0.0439884j -0.0108844+0.0681798j 0.000461333+0.0232236j 0.00127672-0.00232706j 0.00350742-0.0460927j -0.0762306+0.0492417j 0.0124943+0.0206566j -0.00306634+0.0263747j 0.0642193+0.0105819j -0.0421414+0.132745j -0.113246+0.0226928j 0.06197-0.0159499j -0.0206356-0.142556j 0.0542075+0.0424754j 0.0662309-0.130223j -0.151986+0.0942995j 0.169114+0.00495907j -0.0267411-0.121632j 0.0166106+0.123563j 0.050542+0.00251603j 0.156644+0.0936051j 0.0583829+0.00237308j -0.012376+0.00677736j -0.0130331+0.0429227j -0.177463-0.0103669j -0.000787311-0.0086802j 0.0215734-0.224248j -0.0404107-0.0549441j 0.0324844-0.0585881j -0.0764842-0.0552613j 0.007783+0.0225503j 0.0985928-0.0674337j -0.0270213-0.0420158j -0.0103938-0.0566514j 0.0684539-0.0501413j -0.0523416-0.0113478j 0.037032+0.0933792j -0.0647472+0.0163087j 0.00821671-0.0286783j -0.0496813+0.042615j 0.0112591-0.0148998j 0.000287154-0.0260592j 0.00758168-0.000896436j 0.0395111+0.00794678j 0.0206648+0.0105841j -0.00411041+0.0297193j 0.0241767+0.0293843j 0.0232587-0.0356245j 0.00326613+0.0175351j 0.0328907-0.0456025j 0.0518982+0.0281588j 0.0069025-0.0174858j -0.0118424+0.000134092j -0.0010442-0.0261898j -0.00301271+0.00656911j -0.0107593-0.0140125j 
0.00514722-0.0155917j -0.0264165+0.00579449j -0.0224035+0.0201365j 0.0281701+0.0120543j 0.0194162-0.0565511j 0.039076-0.0317396j 0.0178129-0.0140465j -0.0517365+0.00791074j -0.0351276+0.0269666j 0.0056604+0.0168721j -0.013765-0.0533046j -0.0165396+0.0687742j 0.0696661-0.0153395j -0.00262966-0.0741869j -0.0535558+0.0413092j 0.0350555-0.0302861j -0.0271942-0.0261504j 0.0663263-0.0581519j -0.0874474+0.014448j -0.0944912+0.0323144j -0.00235724-0.0197965j -0.136662+0.0491099j -0.0541011-0.0323151j 0.0550809-0.0369969j -0.102107+0.00103178j 0.0370198-0.0708207j 0.102117-0.0400299j 0.00581564+0.0192573j 0.0786091-0.0995332j -0.0655355-0.15996j 0.10898-0.157603j -0.0480373+0.0726982j -0.0535918-0.107941j -0.0230021+0.024707j 0.019841-0.0112241j -0.110489+0.0252204j -0.0970065-0.00604247j 0.111181+0.00164768j 0.0215265-0.176515j 0.0699675-0.0570194j 0.0399231+0.100239j -0.142085+0.00275414j 0.0846594+0.0378716j -0.0817076-0.0450822j 0.031511-0.125977j 0.0263197+0.0135535j -0.0157535+0.0491876j 0.0887559+0.0130532j 0.0218355-0.0183763j 0.00362911+0.0276698j 0.0547156-0.00913359j -0.0354134+0.0196579j -0.0197127-0.0313044j -0.000568899-0.00189617j 0.00499116-0.0215015j -0.00142197+0.0623312j -0.0479967-0.023158j 0.0239187+0.0432878j -0.0710942-0.00235108j -0.0198869+0.0402048j 0.00808252+0.0128291j -0.0166685-0.0248335j -0.00796354+0.0306021j -0.00520351-0.0101438j 0.00932896-0.0229543j -0.000477467+0.00719328j -6.45085e-05-0.0112652j 0.0127656+0.00214846j -0.0156286-0.0373061j 
-0.0117609-0.0256306j 0.0174042+0.000937611j -0.000871642-0.0600806j -0.052665-0.0255194j -0.00994898+0.0257882j 0.00776355+0.00190407j 0.0382667+0.0106425j 0.0503292-0.00103718j 0.0534241-0.00741954j 0.00691947+0.0313633j -0.0310337-0.0286599j 0.00198062+0.0145862j 0.0167915-0.0354673j -0.0289317+0.0287136j 0.0499934+0.0627822j -0.0246738+0.0645131j -0.0271419-0.0705364j -0.00493705+0.014682j 0.0357295-0.0125057j -0.0369301-0.0930963j 0.0859201+0.119462j -0.034404-0.0772557j -0.0445502+0.0284786j -0.105288-0.0926784j -0.0427787-0.0569782j 0.0978699+0.0200807j 0.0700561+0.0450584j -0.112741-0.205733j -0.18585+0.0598677j -0.0760678-0.114566j -0.0149947-0.00699108j 0.0316266+0.0578205j 0.0813488-0.0845397j 0.0589368+0.0685727j 0.0238362+0.005235j -0.0387475-0.0840215j -0.040229-0.0140353j -0.0482902-0.00801177j 0.013709-0.0497638j -0.160187-0.0182412j 0.0198741-0.027309j -0.0422881+0.0663842j -0.094681+0.0155949j 0.0132446+0.0156804j 0.0230393-0.0543752j -0.0538173-0.0232645j -0.0350474+0.0808349j 0.0232433+0.0657632j -0.00860349-0.00229819j -0.0741537-0.0699117j -0.0712313-0.0275586j -0.029805-0.0228879j 0.0116827-0.0284109j 0.00243451+0.00803328j 0.0318149+0.0573034j 0.00520779-0.0514016j -0.00030451-0.0091137j -0.0199834-0.0219746j 0.0286152-0.0213558j 0.0133836+0.0670937j -0.0284819+0.017317j -0.0125847-0.00718483j 0.00320319+0.0151803j 0.0273204-0.0377987j 0.0349963+0.015565j -0.0230219+0.0220974j 0.0268079+0.043175j -0.00468807+0.0207093j 0.00443296+0.0160934j 
-0.00368397-0.0145949j 0.0349951+0.0419478j -0.0314862-0.043536j -0.01721+0.03316j -0.00270471-0.00383939j 0.0580225+0.0365282j -0.0132858+0.053665j 0.0450052-0.0257516j 0.0343266+0.0813671j -0.0480034-0.0451697j -0.044405-0.0432067j -0.0166318-0.00730304j 0.0290682-0.0866938j 0.0345249-0.0128892j 0.0277722-0.0309183j -0.00431821+0.0660961j 0.0456282-0.108778j 0.0496298+0.00460345j 0.0743955+0.0171651j -0.119988-0.0611324j 0.0470539+0.0347532j 0.0511003+0.0579019j -0.0365292-0.0585958j -0.00208748+0.0119551j 0.0139915-0.0462826j 0.095385-0.112557j -0.0901252-0.00829598j 0.0487886+0.155004j 0.0295639-0.118569j 0.0720778-0.0787696j 0.0290271-0.0310241j -0.0191602+0.0318584j -0.00424103+0.00819453j -0.0635207+0.0430752j -0.0422732+0.0502301j 0.0503804+0.0749539j -0.000278245-0.00538292j -0.00184419-0.0434833j -0.0379591-0.086196j 0.107544-0.0745522j -0.00954365+0.00772826j 0.0107926+0.0305345j 0.0445144-0.0282898j 0.0146954-0.0683774j -0.0426948-0.0443533j -0.0242792-0.00112596j -0.0411117+0.0285898j -0.0185513-0.00949117j -0.0622261+0.0211175j -0.0445504-0.0184646j -0.0541764+0.0304997j -0.0382169-0.0257342j -0.0334226-0.0025321j 0.0924781+0.0050207j -0.0716022+0.0329562j 0.00955061-0.0193754j -0.0173803+0.0195488j 0.0149819-0.0240383j 0.00662529+0.0402612j 0.0167834-0.00268727j -0.00121673+0.0430798j 0.0309432+0.0298444j 0.0200352+0.00414779j -0.0333615-0.019247j 0.0214874-0.0189975j -0.0437425+0.0146855j -0.0190288+0.0161952j -0.00271703+0.00740602j -0.00902153+0.0239562j 
0.0336565-0.0217182j 0.00717131+0.00648855j 0.0403573-0.00547449j 0.016809-0.0585076j -0.0429556-0.0406188j 0.0712291-0.0488867j 0.0564284+0.0215607j -0.0323297+0.0130751j -0.0606724-0.0668537j 0.0504566-0.0139049j 0.0254988-0.0174226j -0.0342025+0.135495j -0.0220857-0.0232738j -0.108026-0.0306618j -0.0529789+0.158028j -0.0715504+0.0227636j -0.0184511-0.029707j -0.0113297-0.00373453j 0.0472981+0.0548574j -0.0714751+0.0546318j 0.0295446+0.00285209j -0.10106+0.0180358j -0.196849+0.0614055j 0.105778-0.0306148j -0.116517+0.128003j -0.0160716-0.00463977j -0.0238306+0.0956811j -0.0146891+0.149288j -0.0492698-0.0604927j -0.0865868-0.210396j 0.175066+0.076286j -0.0154168-0.07115j 0.0853164-0.0316229j 0.0398299-0.0260791j 0.20115+0.097678j 0.0524993+0.0577885j 0.00496669-0.113974j 0.0380249+0.00995567j -0.0369362+0.0999797j 0.0040695+0.0107319j 0.0492296-0.0580026j -0.0408101-0.0737164j -0.0438636-0.0233204j -0.00510994+0.0012948j 0.00546041+0.0875146j 0.0644993-0.0268403j 0.0345262+0.00640264j 0.0932754-0.0324976j 0.0371468+0.060003j -0.0659747+0.0366296j -0.00421155+0.049832j -0.00324403+0.00369595j 0.0239929-0.0368067j 0.0160582-0.0253221j 0.0265056-0.0478212j 0.0439658-0.0577892j 0.0758652+0.0172649j 0.0159528+0.0391949j -0.00131624-0.0121392j 0.0149278+0.0112862j 0.0206903-0.0553492j -0.0195702+0.0215888j 0.0259165+0.00375922j 0.00502209+0.0294408j 0.00658398-0.0490027j 0.00800771+0.0198478j 0.0407532+0.000421206j -0.0196386-0.00467261j -0.0163594-0.00443177j 
0.0401082+0.0254675j -0.00736039+0.00698558j -0.0196089+0.00398437j -0.0383072-0.00850333j 0.0079049+0.000443739j -0.00682667+0.026884j -0.00871231+0.0463378j 0.0764983+0.00810147j -0.084254+0.0175524j -0.0446139-0.000197338j 0.0495836-0.00180445j 0.00272504-0.0812028j -0.0387123+0.0578249j -0.0750758-0.0514573j -0.0203544+0.0686169j 0.0319339+0.027744j 0.0380407-0.00685026j 0.0290933-0.0359218j 0.0435337+0.0807138j 0.0319281+0.00854103j 0.0941045+0.0841107j 0.10243-0.0982871j 0.0629095-0.111294j -0.0970825+0.0282623j -0.0169292-0.132476j 0.0407995+0.0287589j -0.0219389+0.124199j -0.040145+0.0236262j -0.124232+0.0090891j -0.153968+0.131008j 0.0146848-0.145325j -0.066636-0.0909873j -0.00269381+0.0262243j -0.0291911+0.0385512j -0.0250677+0.0454116j 0.0268433-0.0313348j 0.0164486+0.0267507j 0.0250335-0.0413008j 0.00327292-0.116634j -0.0102013+0.0247748j -0.0592285-0.018556j 0.0679887+0.0717344j 0.0944678-0.106488j 0.0222355-0.06637j -0.0645189-0.0163194j -0.0097706+0.00375353j 0.0712604+0.00369345j -0.0491343-0.00660487j 0.0268955+0.0075857j -0.115208+0.058657j 0.0224082+0.0191876j 0.0616459-0.00962382j -0.0203921+0.0402926j -0.0117189-0.0763673j 0.0889976+0.0516749j 0.0165961+0.0269298j 0.000156104+0.00106469j -0.0282955+0.0340888j -0.00701673+0.0322996j 0.00494091+0.00257685j -0.0158713+0.0216898j -0.00196433+0.0310274j 0.0068725+0.0117151j -0.059094+0.0316832j -0.0119531-0.0174867j 0.038029-0.00349908j 0.018059+0.0143351j 0.00252574+0.00139609j 0.00133772-0.00733842j 
-0.0135715+0.0228168j -0.0170425-0.0197653j -0.0976724+0.046483j 0.0233881+0.0277035j -0.022983+0.0539498j -0.0642336+0.0621275j -0.0174928-0.0340846j 0.0422947+0.0126022j 0.00154504-0.0113211j -0.0126461+0.0400092j 0.0230217+0.0410171j 0.0136327+0.0123835j -0.0223319+0.0218755j 0.0161295-0.0495435j 0.0493275-0.164205j 0.0935796-0.000235152j -0.0893263+0.0423423j 0.0624931+0.0800889j -0.0337601-0.00246012j -0.111028+0.0739744j 0.0554666-0.0277036j 0.145009-0.00565885j -0.0340224+0.114002j -0.0888026-0.0269923j 0.161295-0.12206j 0.0043514-0.0592715j -0.0689275-0.00126767j 0.0676483+0.060606j -0.0343624-0.153205j -0.0199706-0.109212j -0.0242792+0.105027j 0.029861-0.0144008j -0.105107+0.073757j 0.0581159-0.0171371j -0.0384567+0.0410529j 0.10876+0.0139035j 0.0665676+0.019832j -0.0076719+0.0391834j -0.0546385-0.0679032j -0.0751936+0.000889279j 0.0751336-0.0737258j 0.063361+0.00653479j 0.155335+0.120328j 0.110831+0.00106271j 0.0814634+0.0360752j 0.043578-0.0605428j -0.0329647-0.0190768j -0.0293728+0.0228293j -0.00013397-0.00854185j 0.0220727-0.00487159j -0.00626898+0.0380901j -0.00463652-0.00894785j -0.0268425+0.0265666j 0.067306-0.0204225j 0.0124152+0.0414013j 0.020021+0.00339108j -0.0290772-0.0423629j -0.000529697+0.00377809j -0.023662-0.00983114j 0.0991476+0.0504624j 0.00220143-0.0514044j -0.0356443+0.000482238j -0.0661337-0.00218044j 0.013312-0.0147442j 0.00216339+0.012978j 0.0425133+0.00148207j -0.0341989-0.00144902j 0.0252407+0.0220006j 0.00481547-0.0284361j 
-0.0240241-0.0346861j 0.0352146-0.024527j 0.0174119-0.0166432j -0.012511-0.0440168j -0.0224593+0.0312757j -0.024293-0.000774991j 0.00838553+0.0364321j 0.0743936-0.0258073j -0.0438716+0.00231616j 0.00749586+0.0837365j -0.0564863-0.0051281j -0.0356264-0.00190865j -0.016402+0.057376j 0.0582377-0.00025055j 0.0636991+0.0635861j -0.0171723+0.0915307j -0.0161736+0.00143396j -0.0415981+0.0193735j -0.0169915+0.126184j -0.0422009+0.0194953j 0.0890132+0.112913j -0.137654+0.028534j -0.0995359-0.131016j -0.0204497-0.0558713j 0.041027-0.00790733j 0.218305-0.0881018j -0.0255168-0.041743j -0.263394-0.0280797j 0.105102+0.0775172j 0.00893388+0.0880735j -0.0671826+0.0913612j -0.00789785+0.0456977j -0.071879-0.102513j -0.0524692-0.0980536j -0.054437-0.18799j -0.0482709+0.0863763j 0.0268567+0.160514j 0.0557973-0.0360846j -0.012078+0.00471022j 0.053014+0.0310471j 0.043655-0.0216585j 0.0430809+0.0461314j -0.0553746+0.0537438j 0.0801476-0.074645j 0.0482671-0.0715668j 0.0373714-0.0264084j 0.0221838-0.0102295j 0.0195286-0.0371018j -0.0227582+0.00299533j -0.0288604+0.0366598j -0.0728541+0.0193347j -0.00554798-0.000748598j -0.00465452+0.00148315j -0.00350824-0.0190169j 0.0124136+0.0262329j 0.00965036+0.00461835j 0.0318995-0.0828368j 0.007548+0.00302994j -0.0144645-0.0310866j 0.0257108+0.0165065j -0.00041778-0.0133017j -0.0138799+0.0185167j -0.00440912-0.0325391j 0.0448732-0.0148488j 0.0087017+0.00404111j -0.00150149+0.00560305j 0.0116861-0.00192775j -0.0156967+0.0120807j 0.00304064-0.00533561j 
0.0158568-0.00722318j 0.027153+0.0199711j 0.00895441-0.00196495j -0.0484513-0.0255712j 0.00236659+0.0434483j -0.0435116+0.0287179j -0.0604579-0.0590624j -0.0234949+0.00177747j -0.0269395-0.043992j 0.0188434+0.00812962j -0.0268688-0.0203482j 0.0402229+0.00430747j -0.0978612-0.00727633j -0.0241309+0.0431959j 0.0521841-0.02325j -0.0307503-0.00642163j 0.0999049+0.00110366j -0.032059-0.0150313j 0.0714191+0.0847667j -0.00916825+0.0112396j 0.0137245+0.0339042j -0.0149018-0.0706337j 0.0933255+0.0147121j 0.0304161+0.0311748j -0.0642851-0.0545037j -0.121248-0.0295303j 0.0559418+0.0101373j -0.0809116-0.00825546j 0.0097392+0.0594523j -0.0608235-0.0244611j 0.101026+0.00387165j -0.0192193-0.00956484j 0.0208215+0.0144351j -0.00395726-0.0243541j 0.0808505-0.0533477j 0.0207411-0.0471382j 0.018975-0.00550273j -0.0048276+0.0432206j 0.0482456+0.0348412j -0.0889644-0.0535804j 0.0952999-0.03835j -0.0280274+0.131944j -0.0221861+0.0382624j -0.0289597-0.0982745j -0.0548065-0.000257512j 0.0395142-0.0579277j -0.0253476+0.0302656j 0.0440293-0.0234636j 0.0256847-0.0256633j 0.0571201+0.01641j -0.00275949+0.0495302j -0.023167+0.0195046j 0.0136094+0.038282j 0.00122116-0.026205j -0.00980313-0.00557257j -0.0148406-0.00578152j 0.00408853+0.00131566j -0.0412718-0.0662387j 0.040715+0.00730917j -0.00279168-0.0172404j 0.0345729-0.0097469j -0.0322697+0.0481854j 0.000354949-0.0230395j 0.0181242-0.0114629j 0.0143434-0.00447128j -0.00445434+0.000223915j 0.000571113+0.002514j 0.000112605-0.0106483j 0.0139141+0.0210818j 
-0.0338007+0.0327354j -0.0254026-0.0251516j 0.0205355-0.0253768j -0.031403-0.0041421j -0.010105-0.00672733j 0.0996609+0.0746098j -0.0535606+0.084179j 0.0568969+0.016697j 0.0164592-0.0166614j 0.0312631-0.0284037j -0.0141773+0.0782826j 0.0326579-0.053803j 0.132236+0.0213987j -0.0081483-0.0422647j 0.0182701-0.00157007j -0.0677446+0.0306483j 0.0193374-0.0865315j 0.0364445+0.0507604j 0.0490678-0.0887855j -0.123149-0.0718476j 0.0217719+0.0323226j -0.107837-0.0896115j 0.00286287-0.0507564j -0.0145769+0.0175835j -0.154432-0.0733407j 0.135772+0.0646972j 0.0595303-0.06369j 0.0836931-0.00495265j -0.0442405+0.0117788j 0.0470867-0.0357465j -0.109542-0.0208792j -0.121673+0.0620203j 0.0872544-0.0160355j 0.0494801-0.00788474j 0.0885029+0.0456625j -0.0420964-0.0548006j -0.0239903-0.00865936j 0.0432438+0.0172257j -0.115693-0.0205025j -0.0439083+0.00966845j 0.0421805-0.0257989j 0.066226-0.144198j 0.0489123-0.0474875j 0.0260537+0.0351281j 0.0552896-0.00555657j 0.019172+0.0424102j -0.0306289-0.00721459j -0.0152426+0.0506774j -0.0051795+0.0263983j 0.0407156-0.0513849j -0.0101575-0.0143989j 0.00116024-0.0163489j 0.0769996+0.0209939j -0.00449604+0.00792125j -0.00522604-0.0340509j 0.0410263-0.0137559j 0.0126919+0.0474166j -0.0238343+0.0239086j 0.0392778+0.00337513j 0.0173743-0.0469701j 0.00993193-0.0039248j 0.0192747-0.0195839j -0.0359271+0.016752j 0.0183387-0.00705837j 0.00851669+0.0154519j -0.011545-0.0209803j -0.0143054+0.0223925j -0.00899771-0.0126501j 0.00497317+0.0144405j 
-0.0115248-0.0155111j 0.0104875+0.0159109j 0.0774018-0.0410249j -0.0303648-0.0617475j -0.0628837+0.0295167j -0.0185915+0.0077857j 0.00155543-0.000117888j -0.0334375+0.0720075j -0.0342613-0.00667894j 0.0999767-0.0460085j -0.0768051-0.0246299j 0.0493666+0.0490474j 0.0422928-0.0259806j -0.0939926+0.00178109j 0.0970702+0.00155774j -0.0961302+0.144476j 0.0435759+0.0496411j -0.0866809+0.11931j 0.123321+0.00570099j 0.085282+0.00345095j 0.0241225+0.105744j -0.0227209+0.00738803j -0.203357+0.150151j 0.0175863-0.120649j 0.00775742-0.04642j -0.00624445+0.023998j 0.0734503+0.0531039j -0.105189+0.103794j -0.0321449-0.129905j 0.00892505-0.109517j 0.0248681+0.154922j -0.00872114-0.117797j -0.0215423+0.0140019j -0.0344832-0.0219112j -0.0292951+0.11547j 0.0645343+0.0270255j 0.0757377-0.0221966j 0.0229947-0.0381353j -0.0667083+0.074647j 0.0103997+0.0729454j 0.05059-0.0133468j 0.0151831-0.0675507j -0.0392487+0.0348354j -0.0396458+0.0245206j -0.0421415+0.0128424j 0.00761229-0.00521994j -0.0370675+0.0128341j -0.0714497-0.00958833j -0.0571359+0.0358083j 0.0518288+0.0244869j -0.028407+0.00272372j -0.024266-0.0252589j 0.0332969-0.0266949j 0.012206+0.0191926j -0.00133703-0.0187473j 0.032882-0.0454197j -0.0311977+0.00570474j 0.0191763-0.0139065j 0.0561863+0.00539611j 0.00371622-0.0377311j 0.00604641+0.00401162j 0.00799712-0.00256186j -0.00660299+0.00572895j 0.0352039-0.00284599j 0.00342978+0.00736009j -0.0186182-0.0112226j -0.0317274-0.00170467j -0.00142715+0.000249676j -0.00633039+0.0236298j 
